1,Krutrim,https://olakrutrim.com,Bengaluru,2022,Artificial Intelligence,Large Language Models,Bhavish Aggarwal,India's first AI unicorn building LLMs trained on Indian languages and culture.,"Government, Education, Healthcare, Media, BFSI — Indic language AI, citizen services, regional content",Freemium / Contact Sales,Free trial; Cloud plans on request,✅ Yes,4.1,120,4,38,4,158,"Enterprises, Developers, Govt",Cloud,22 Indian language support; GPU cloud; Voice-enabled GenAI; AI chatbot; Model-as-a-Service,$1B+ (Unicorn valuation),Ready
2,Sarvam AI,https://www.sarvam.ai,Bengaluru,2023,Artificial Intelligence,Large Language Models,"Vivek Raghavan, Pratyush Kumar",Full-stack sovereign GenAI platform with LLMs optimized for 10+ Indian languages.,"Telecom, BFSI, Healthcare, E-Commerce, Agriculture — Voice AI and Indic LLMs",Freemium / Pay-per-use,"Free ₹1,000 credits; Speech-to-Text ₹30/hr; TTS ₹15-30/10K chars",✅ Yes,4.3,45,4.2,18,4.2,63,"Developers, Enterprises",Cloud / API,Indic LLM (Saaras); Speech-to-Text (Saarika); TTS (Bulbul); Translation; Document OCR (Sarvam Vision),$53.8M,Ready
3,Mad Street Den (Vue.ai),https://www.madstreetden.com,Chennai,2016,Retail Technology,Computer Vision / GenAI,"Ashwini Asokan, Anand Chandrasekaran",AI platform for retail automation using computer vision and generative AI.,"Retail, Fashion, Logistics, Insurance, Healthcare — product tagging, visual search, catalogue automation",Contact Sales,Custom enterprise pricing,❌ No,4.4,30,4.3,22,4.3,52,Retail Enterprises,Cloud,Visual AI merchandising; Automated product tagging; Demand forecasting; GenAI catalogue; Style recommendations,$30M+,Ready
4,Wysa,https://www.wysa.com,Bengaluru,2016,Mental Health Tech,Conversational AI,"Jo Aggarwal, Ramakant Vempati",AI-powered mental health chatbot used by 6.5M+ users across 95 countries.,"Healthcare, Corporate HR, Insurance, Education — mental health support, burnout detection, therapy triage",Freemium / B2B,Free consumer app; Enterprise plans on request,✅ Yes,4.5,210,4.5,98,4.5,308,"Individuals, Corporates, Insurers",Cloud / Mobile,CBT-based AI coaching; Mood tracking; Crisis detection; EAP integration; Multilingual support,$28M+,Ready
5,Neysa Networks,https://www.neysa.ai,Mumbai,2023,Cloud Infrastructure,AI Infrastructure / GPU Cloud,"Sharad Sanghi, Anindya Das",Managed GPU cloud platform enabling enterprises to train and deploy AI at scale.,"Technology, BFSI, Healthcare, Research, Manufacturing — GPU cloud, model training, ML pipelines",Contact Sales,Custom GPU cloud pricing; pay-per-hour model,❌ No,4.2,18,4,9,4.1,27,"AI/ML Teams, Enterprises",Cloud,High-performance GPU clusters; Managed AI compute; Model training; Inference APIs; Multi-cloud support,$30M+,Ready
6,Fractal Analytics,https://fractal.ai,Mumbai,2000,Enterprise Analytics,Decision Intelligence,"Srikanth Velamakanni, Pranay Agrawal",Enterprise AI company delivering consumer insights and decision intelligence for Fortune 500 clients.,"FMCG, Retail, Insurance, BFSI, Healthcare — consumer insights, risk analytics, predictive modelling",Contact Sales,Custom enterprise pricing,❌ No,4.5,85,4.3,40,4.4,125,Fortune 500 Enterprises,Cloud / On-Premise / Hybrid,AI-powered analytics; Decision intelligence; Consumer insights; Predictive models; Engineering AI,$685M (PE rounds),Ready
7,Haptik,https://haptik.ai,Mumbai,2013,Customer Experience,Conversational AI,"Aakrit Vaish, Swapan Rajdev",Enterprise conversational AI platform building chatbots and virtual assistants for global brands.,"E-Commerce, BFSI, Telecom, Travel, Healthcare — customer support automation, lead generation",Paid / Contact Sales,"Starter ~$5,000/year; Enterprise custom",✅ Yes,4.3,95,4.2,72,4.2,167,Mid-Market & Enterprise,Cloud,NLU-powered chatbots; Omnichannel deployment; WhatsApp bots; Product discovery AI; Agent handoff,$16M (Reliance Jio),Ready
8,Qure.ai,https://qure.ai,Mumbai,2016,Healthcare Technology,Medical Imaging AI,"Prashant Warier, Pooja Rao",Deep learning platform interpreting X-rays and CT scans for faster clinical diagnosis globally.,"Healthcare, Public Health, Insurance — AI radiology for TB, pneumonia, cancer detection",Contact Sales,Custom per-scan or enterprise licensing,❌ No,4.4,42,4.3,25,4.3,67,"Hospitals, Radiology Labs",Cloud / On-Premise,Chest X-ray AI (qXR); CT scan analysis; TB/stroke detection; FDA & CE cleared; 100+ country deployment,$125M+,Ready

9,Yellow.ai,https://yellow.ai,Bengaluru,2016,Customer Experience,Conversational AI,"Raghu Ravinutala, Jaya Kishore Gollar",AI-powered customer service automation platform serving enterprises across 35+ languages.,"BFSI, Retail, Telecom, Logistics, Travel — omnichannel AI, ticketing, lead qualification",Contact Sales,Custom enterprise pricing; Freemium sandbox,✅ Yes,4.4,220,4.3,130,4.3,350,Enterprise CX Teams,Cloud,Dynamic AI Agents; 35+ language support; Omnichannel; Workflow automation; Analytics,$102M+,Ready
